Date: 2017030506
Time: 22:50:04.134
Station_Code: APO
Long: 017.357222 E
Lati: 045.819722 N
Height: 0135 m
2457818.4515270139 109.077 +46.229 -0.4
2457818.4515274768 109.367 +46.285 -0.4
2457818.4515279396 109.699 +46.396 -0.4
2457818.4515284030 110.011 +46.464 -0.4
2457818.4515288658 110.366 +46.560 -0.4
2457818.4515293287 110.722 +46.654 -0.4
2457818.4515297916 111.079 +46.747 -0.4
2457818.4515302544 111.437 +46.840 -0.4
2457818.4515307178 111.752 +46.904 -0.4
2457818.4515311806 112.048 +46.982 -0.4
2457818.4515316435 112.345 +47.060 -0.4
2457818.4515321064 112.707 +47.176 -0.4
2457818.4515325692 113.065 +47.209 -0.4
2457818.4515330326 113.385 +47.297 -0.4
2457818.4515334954 113.684 +47.371 -0.4
2457818.4515339583 114.090 +47.455 -0.4
2457818.4515344212 114.454 +47.539 -0.4
2457818.4515348841 114.884 +47.634 -0.4
